,state,avg_hum_spr,avg_hum_sum,avg_hum_fall,avg_hum_wint,avg_temp_spr,avg_temp_sum,avg_temp_fall,avg_temp_wint,avg_precip_spr,avg_precip_sum,avg_precip_fall,avg_precip_wint,avg_pressure_spr,avg_pressure_sum,avg_pressure_fall,avg_pressure_wint
0,Alabama,73.02197802197803,72.58241758241758,75.32608695652173,75.73913043478261,18.076923076923077,27.604395604395606,30.793478260869566,20.98913043478261,1.3241758241758241,3.756043956043956,6.307608695652172,2.8413043478260867,1021.978021978022,1016.0,1016.2717391304348,1018.3804347826087
1,Alaska,67.76923076923077,72.43956043956044,78.29347826086956,75.16304347826087,28.197802197802197,30.0,29.641304347826086,27.73913043478261,0.08131868131868132,2.4857142857142858,4.276086956521739,0.7510869565217391,1014.4505494505495,1012.2967032967033,1012.5978260869565,1013.2608695652174
2,Arizona,82.16483516483517,77.15384615384616,79.8913043478261,81.67391304347827,25.582417582417584,29.054945054945055,28.782608695652176,27.02173913043478,2.6263736263736264,2.19010989010989,1.85,3.1271739130434786,1016.3626373626373,1013.0989010989011,1013.945652173913,1014.0978260869565
3,Arkansas,58.30769230769231,68.10989010989012,68.30434782608695,67.55434782608695,10.824175824175825,26.076923076923077,30.902173913043477,12.576086956521738,0.23186813186813188,1.5010989010989013,1.2826086956521738,0.5413043478260869,1021.0769230769231,1012.945054945055,1015.2173913043479,1019.0869565217391
4,California,42.68131868131868,34.84615384615385,24.76086956521739,39.19565217391305,15.538461538461538,27.318681318681318,35.01086956521739,18.01086956521739,0.2285714285714286,0.002197802197802198,0.014130434782608696,0.12934782608695652,1018.5054945054945,1012.5054945054945,1012.2065217391304,1017.2934782608696
5,Colorado,46.07692307692308,43.73626373626374,49.90217391304348,53.15217391304348,6.4945054945054945,19.714285714285715,23.967391304347824,6.619565217391305,0.31868131868131866,0.9868131868131867,1.9869565217391305,0.5152173913043478,1017.7802197802198,1013.010989010989,1017.4891304347826,1019.0869565217391
6,Connecticut,73.71428571428571,68.0989010989011,74.70652173913044,73.16304347826087,3.934065934065934,20.01098901098901,27.02173913043478,8.5,1.908791208791209,1.6615384615384614,2.6271739130434786,2.7021739130434783,1019.1098901098901,1015.7472527472528,1019.0108695652174,1017.6304347826087
7,Delaware,75.78021978021978,71.18681318681318,78.43478260869566,76.65217391304348,3.967032967032967,21.934065934065934,26.51086956521739,8.967391304347826,1.9934065934065932,2.806593406593407,2.967391304347826,2.0891304347826085,1022.3956043956044,1015.2087912087912,1017.4782608695652,1019.0652173913044
8,Florida,63.78021978021978,77.76923076923077,74.1304347826087,75.52173913043478,24.604395604395606,22.67032967032967,23.380434782608695,23.065217391304348,1.1868131868131866,5.889010989010988,6.381521739130435,3.4847826086956526,1012.7582417582418,1013.8351648351648,1013.3260869565217,1012.9347826086956
9,Georgia,66.65934065934066,57.89010989010989,51.40217391304348,67.03260869565217,9.23076923076923,23.0,28.934782608695652,12.021739130434783,0.5747252747252748,0.7098901098901098,1.0467391304347824,0.6771739130434782,1018.5494505494505,1015.2857142857143,1013.9347826086956,1022.0869565217391
10,Hawaii,51.9010989010989,63.8021978021978,63.56521739130435,54.130434782608695,19.10989010989011,21.604395604395606,27.26086956521739,21.445652173913043,0.04285714285714286,0.0,0.047826086956521734,0.03043478260869565,1018.4065934065934,1013.989010989011,1012.9673913043479,1016.5760869565217
11,Idaho,70.46153846153847,52.142857142857146,30.619565217391305,65.07608695652173,2.3516483516483517,18.87912087912088,28.043478260869566,4.717391304347826,0.15384615384615385,0.48571428571428577,0.10869565217391304,0.19565217391304343,1021.9010989010989,1013.6483516483516,1015.2173913043479,1023.3369565217391
12,Illinois,72.5934065934066,71.64835164835165,79.67391304347827,73.82608695652173,2.32967032967033,21.76923076923077,26.434782608695652,7.173913043478261,0.521978021978022,1.542857142857143,1.3782608695652174,0.9836956521739131,1022.2747252747253,1014.3406593406594,1016.7934782608696,1018.9347826086956
13,Indiana,74.93406593406593,73.3076923076923,83.19565217391305,76.52173913043478,4.461538461538462,22.494505494505493,26.27173913043478,9.467391304347826,1.254945054945055,1.8538461538461541,2.225,0.9456521739130435,1022.4505494505495,1014.8901098901099,1017.2065217391304,1019.1195652173913
